work_id,mp_no,fy,work_no,mp_name,mp_state,state,constituency,work_category,work_desc,work_status,recommended_date,recommended_amount,sanction_date,sanction_amount,completion_date,amount_disbursed,exp_pay_count,exp_total,exp_inprogress,exp_paid,exp_vendors,alloc_limit,calamity_consent,is_recommended,is_sanctioned,is_completed,has_expenditure,dup_partner_count,dup_partner_sim_max,dup_partner_cross_fy,has_duplicate_lead,anomaly_score,is_anomaly,flag_unparseable,flag_stalled,flag_incomplete,flag_sanction_overrun,flag_zero_disbursal,flag_cost_overrun,reasons,risk_score,is_flagged,fraud_type,fraud_priority,fraud_signals,fraud_narrative,legal_route
MP582/2024-2025/137339,582.0,2024-2025,137339.0,Prabhubhai Nagarbhai Vasava,Gujarat,Gujarat,BARDOLI(ST),Normal/Others,"The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Mandvi Nagar Nava faliya Near Jay Rathod House Taluka Mandvi, District Surat",Physical Inspection,2024-08-27,192000.0,2024-12-10,192000.0,,,,,,,,147000000.0,,1,1,0,0,4,0.9983,2,True,0.022803192037716524,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP582/2024-2025/137338,582.0,2024-2025,137338.0,Prabhubhai Nagarbhai Vasava,Gujarat,Gujarat,BARDOLI(ST),Normal/Others,"The following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Mandvi nagar Near crematorium  Taluka Mandvi, District Surat",Physical Inspection,2024-08-27,192000.0,2024-12-10,192000.0,,,,,,,,147000000.0,,1,1,0,0,4,0.998,2,True,0.022803192037716524,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP863/2024-2025/143487,863.0,2024-2025,143487.0,P C Mohan,Karnataka,Karnataka,BANGALORE CENTRAL,Normal/Others,"Installation of 15 Nos. Dell Optiplex 7400 A10 12th Gen Core i7-12700T/16GB/512GB SSD + 1TB/WIN 10 Pro/FHD 24''/3 years on-site warranty, 02 Nos. Dell Optiplex 3280 A10 10th Gen Intel Core i5-10500T/8GB/1TB/22'' FHD/WIN 10 Pro/3 years on-site warranty, 03 Nos. Dell Optiplex 5400 A10 12th Gen Intel Core i5-12500T/8GB/256GB SSD + 1TB/WIN 11 Pro/24''/3 years on-site warranty, 02 Nos. Canon Jumbo Xerox Machines, and 02 Nos. Canon Laser Jet Printers 2900B",Physical Inspection,2024-09-25,4739506.0,2024-11-20,4739506.0,,,,,,,,159995711.11,,1,1,0,0,0,0.0,0,False,0.3887234638849254,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (4739506.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP18112/2024-2025/136984,18112.0,2024-2025,136984.0,BALWANT BASWANT WANKHADE,Maharashtra,Maharashtra,AMRAVATI(SC),Normal/Others,Construction Of Community Hall At Chincholi Rahimapur (Kh)Ta. Anjangaon Surji Dist Amravati,Work Completed,2024-08-25,1500000.0,2024-10-14,1500000.0,,,2.0,1496534.0,0.0,0.0,1.0,198293678.0,,1,1,0,1,0,0.0,0,False,0.5594565765913779,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (1500000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP792/2024-2025/140290,792.0,2024-2025,140290.0,Jai Prakash,Uttar Pradesh,Uttar Pradesh,HARDOI (SC),Normal/Others,19 ?? 6?? 170 ?? 200 ??? ???? ????????? ?????,Vendor Identification,2024-09-11,3959045.0,2024-10-09,3959045.0,,,,,,,,147000000.0,,1,1,0,0,0,0.0,0,False,0.37554074965296425,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (3959045.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP18007/2024-2025/140066,18007.0,2024-2025,140066.0,Putta Mahesh Kumar,Andhra Pradesh,Andhra Pradesh,ELURU,Normal/Others,"Construction of Veterinary Hospital at A.V. Nagaram village of Thondangi mandal, Kakinada district.",Work partially Completed,2024-09-09,,2024-10-09,2500000.0,,,1.0,1097173.0,1.0,0.0,1.0,147000000.0,,0,1,0,1,0,0.0,0,False,0.39170232006313777,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (2500000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP719/2024-2025/140155,719.0,2024-2025,140155.0,Bhagirath Chaudhary,Rajasthan,Rajasthan,AJMER,Normal/Others,Construction of Teen shade and ladder in village rewat,Work partially Completed,2024-09-10,200000.0,2024-12-07,200000.0,,,8.0,37245.0,8.0,0.0,8.0,147000000.0,,1,1,0,1,0,0.0,0,False,0.5011967606846666,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (200000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP792/2024-2025/136735,792.0,2024-2025,136735.0,Jai Prakash,Uttar Pradesh,Uttar Pradesh,HARDOI (SC),Normal/Others,26 ??  170-200 ??? 06 ?? ???????? ???? ?? ????????? ?????,Vendor Identification,2024-08-22,5580000.0,2024-11-04,5580000.0,,,,,,,,147000000.0,,1,1,0,0,0,0.0,0,False,0.37329803170314024,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (5580000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP529/2024-2025/138161,529.0,2024-2025,138161.0,Maddila Gurumoorthy,Andhra Pradesh,Andhra Pradesh,TIRUPATI(SC),Normal/Others,Construction of CC Raods from Puttu-Sathyavedu road to Market yard in Nagalapuram H/w of Nagalapuram GP in Nagalapuram Mandal.,Physical Inspection,2024-09-02,1423237.0,2024-09-17,1423237.0,,,,,,,,180399007.0,,1,1,0,0,0,0.0,0,False,0.36696552493706447,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (1423237.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
MP18311/2024-2025/143656,18311.0,2024-2025,143656.0,MALVINDER SINGH KANG,Punjab,Punjab,ANANDPUR SAHIB,Normal/Others,Construction of community center at village Nurpur Kalan,Work partially Completed,2024-10-28,700000.0,2024-11-21,700000.0,,,11.0,503751.0,11.0,0.0,2.0,147000000.0,,1,1,0,1,2,0.9218,0,False,0.49548839051099003,True,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; anomalous on F1-F4 features (Isolation Forest)",75,True,siphoned_funds,2,"stalled_no_funds,zero_disbursal,anomaly",Work was sanctioned (700000.0) but has not been completed and has zero amount disbursed.,enforcement - agency investigation
