epoch,train_loss,val_loss,val_cosine_accuracy,test_precision_at_k,elapsed_sec,lr,model_path
1.0,0.0547,,0.9565,0.45,569.7,2e-05,/home/zeroij/mplads/models/ls/epoch_1.0
2.0,0.043,,0.9598,0.4467,1119.5,2e-05,/home/zeroij/mplads/models/ls/epoch_2.0
3.0,0.0374,,0.9611,0.4533,1667.1,2e-05,/home/zeroij/mplads/models/ls/epoch_3.0
4.0,0.0339,,0.963,0.45,2213.9,2e-05,/home/zeroij/mplads/models/ls/epoch_4.0
