"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1164","Normal/Others","WS/MP195/2023-2024/23866-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1165","Normal/Others","WS/MP195/2023-2024/23869-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1166","Normal/Others","WS/MP195/2023-2024/23867-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1167","Normal/Others","WS/MP195/2023-2024/23870-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1168","Normal/Others","WS/MP195/2023-2024/23872-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1169","Normal/Others","WS/MP195/2023-2024/23873-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1170","Normal/Others","WS/MP195/2023-2024/23854-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1171","Normal/Others","WS/MP195/2023-2024/23853-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1172","Normal/Others","WS/MP195/2023-2024/23856-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1173","Normal/Others","WS/MP195/2023-2024/23850-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1174","Normal/Others","WS/MP195/2023-2024/23859-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1175","Normal/Others","WS/MP195/2023-2024/23858-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1176","Normal/Others","WS/MP195/2023-2024/23857-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1177","Normal/Others","WS/MP195/2023-2024/23865-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1178","Normal/Others","WS/MP195/2023-2024/23863-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1179","Normal/Others","WS/MP195/2023-2024/23861-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1180","Normal/Others","WS/MP195/2023-2024/23860-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1181","Normal/Others","WS/MP195/2023-2024/23864-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1182","Normal/Others","WS/MP195/2023-2024/23833-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1183","Normal/Others","WS/MP195/2023-2024/23835-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1184","Normal/Others","WS/MP195/2023-2024/23836-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1185","Normal/Others","WS/MP195/2023-2024/23838-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1186","Normal/Others","WS/MP195/2023-2024/23844-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1187","Normal/Others","WS/MP195/2023-2024/23843-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1188","Normal/Others","WS/MP195/2023-2024/23845-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1189","Normal/Others","WS/MP195/2023-2024/23842-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1190","Normal/Others","WS/MP195/2023-2024/23840-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1191","Normal/Others","WS/MP195/2023-2024/23841-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1192","Normal/Others","WS/MP195/2023-2024/23848-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1193","Normal/Others","WS/MP195/2023-2024/23849-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1194","Normal/Others","WS/MP195/2023-2024/23847-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163273"
"1195","Normal/Others","WS/MP195/2023-2024/23837-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1196","Normal/Others","WS/MP195/2023-2024/23839-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1197","Normal/Others","WS/MP195/2023-2024/23834-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2025","163272.5"
"1198","Normal/Others","WS/MP106/2023-2024/61900-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Gram Panchayat Khinni, Janpad Panchayat Majhouli ke gram Kaithra main Ramkumar ke ghar se main road tak CC Road Evam  Nali Nirman, Jabalpur","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","N/A","25-Jun-2024","600000"
"1199","Normal/Others","WS/MP103/2023-2024/34640-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in ST Senior Boys Hostel in Made Block Mhow","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1200","Normal/Others","WS/MP052/2023-2024/35811-Construction of public staircase/ stair ghat for public convenience","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Construction work of Stair Ghat in Public Pokhara in Village Yogiya Tourism of East Turhapatti, Gram Panchayat Raj of Chanpatia. Estimated Amount Rs. 9 lakh.","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","16-Dec-2024","895799"
"1201","Normal/Others","WS/MP052/2023-2024/15929-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","PCC road construction work in the road leading from village Sihorwa of Panchayat Sihorwa of district East Champaran towards Bela Road. Estimated amount Rs. 749400.","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","08-Feb-2024","741672"
"1202","Normal/Others","WS/MP001/2023-2024/33229-Renovation of ponds and lakes","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction Work of Ladder Ghat on the pond in Kukurjari Village of Rohania Panchyat under Banjaria Block of East Champaran (Estimated Amount up to Ten Lakh)","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","N/A","08-Feb-2024","996012"
"1203","Normal/Others","WS/MP140/2023-2024/35868-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Maharajwala. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","22-Aug-2025","336300"
"1204","Normal/Others","WS/MP140/2023-2024/35860-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kotha. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","22-Aug-2025","336300"
